Gene	proba_m1	proba_m2	bayes_factor	scale1	scale2	raw_mean1	raw_mean2	non_zeros_proportion1	non_zeros_proportion2	raw_normalized_mean1	raw_normalized_mean2	comparison	group1	group2
CRB2	0.3724	0.6275999999999999	-0.5219344645368351	3.3850658e-05	0.00030957776	0.044484537	0.38657978	0.04010287673842642	0.20987261593434262	0.19990388	2.8926797	2 vs Rest	2	Rest
MUSTN1	0.3722	0.6278	-0.5227902892610672	2.4240026e-06	5.7542647e-06	0.0021908935	0.0059083817	0.002190893503524481	0.0035366270121583742	0.010014736	0.027935406	2 vs Rest	2	Rest
SP100	0.3722	0.6278	-0.5227902892610672	4.640309e-06	8.89682e-06	0.0028576867	0.009636786	0.0027624309392265184	0.005987939914765516	0.015005514	0.039347496	2 vs Rest	2	Rest
GUCY1A2	0.3722	0.6278	-0.5227902892610672	0.00026219455	0.0004850218	0.4050322	0.94857603	0.22880548675937598	0.3481659594973765	1.6529787	4.3371625	2 vs Rest	2	Rest
ACVRL1	0.372	0.628	-0.5236463012368989	3.000521e-06	5.6580034e-06	0.0012383312	0.003522588	0.0012383311106877503	0.002109813204343148	0.005297495	0.014219575	2 vs Rest	2	Rest
PTAFR	0.3712	0.6288	-0.5270722291666045	8.871463e-06	1.4202547e-05	0.0074299816	0.012415545	0.007144217946275472	0.008219383148627286	0.032455973	0.056981366	2 vs Rest	2	Rest
CCNA1	0.371	0.629	-0.527929183037079	8.987782e-05	5.8639012e-05	0.16650817	0.111019276	0.06915602971994661	0.05628195712072516	0.81333953	0.54791665	2 vs Rest	2	Rest
DUT	0.3708	0.6292	-0.5287863264169044	0.00034385239	0.0011267744	0.80451775	1.6551223	0.4873309201753098	0.5525137652450398	3.5695138	11.704848	2 vs Rest	2	Rest
SYN2	0.3704	0.6295999999999999	-0.5305011832164296	0.00013273965	0.0002976434	0.093541324	0.5224365	0.053534006477424054	0.1776874388925435	0.33586583	2.1659682	2 vs Rest	2	Rest
AC104803.1	0.37	0.63	-0.5322168025932974	6.7116e-06	1.4363484e-05	0.0038102486	0.012771046	0.003238712135644883	0.010390011367729391	0.014480921	0.07490381	2 vs Rest	2	Rest
BMP3	0.3698	0.6302	-0.5330748991964842	9.000655e-06	2.1905445e-05	0.0034292236	0.016214157	0.002952943417793864	0.011456613165046805	0.013718238	0.08169995	2 vs Rest	2	Rest
AL357873.1	0.3692	0.6308	-0.5356503412274815	3.5996443e-05	5.2365463e-05	0.01647934	0.02833639	0.012478567346161155	0.02146302213198734	0.0788773	0.1537625	2 vs Rest	2	Rest
AC020687.1	0.369	0.631	-0.5365092072482759	4.0295257e-05	8.7337176e-05	0.021527898	0.09765488	0.017241379310344827	0.05663281297510576	0.09519918	0.509704	2 vs Rest	2	Rest
LINC02558	0.3688	0.6312	-0.5373682665770976	1.7244538e-05	3.6449237e-05	0.0060963966	0.0074802083	0.004858068203467322	0.004897947727155852	0.027132856	0.042454794	2 vs Rest	2	Rest
BIRC5	0.3688	0.6312	-0.5373682665770976	0.0003432782	0.00051115727	0.65193427	0.79471403	0.163554962850066	0.2318736170430027	3.2301192	5.260517	2 vs Rest	2	Rest
